,posts_des,Non depression,,,
1,feel like I don't wanna a live no more..,How do you continue to want to live when you have been fighting since birth to exist in this world?,,,
1,Can I vent to you whenever I feel broken,Couldn't even get a hug goodbye from my punisher!,,,
1,SUICIDE BE ON MY MIND DAILY,May you soon meet the reason why God did not allow you to settle.,,,
1,"I feel as If I am falling deeper and deeper into sad, dark place that never ends","Hey guys, i just wanted to let you all know that i wont be doing the live tonight. I am going through something personal at the moment. however i will be doing a live next tuesday at 9pm. thanks for understanding.",,,
1,Mind full of unsaid thoughts,"Today is my 40th birthday, feeling a little bummed out. Please show me some love",,,
1,Popping pills only for the healing,How often do you shower be honest ?? I just couldn't get out of the bed today,,,
1,SUICIDE,I've been clean for nearly a month,,,
1,Look in the mirror I only see dead people,Why does it always seem like I'm not important to friends or family... Like I'm a waste of space and a constant bother?,,,
1,I'm lonely do any of you mind keeping me company. I feel like I'm collapsing,Im not sad but I'm not happy either. I can laugh and joke around during the day,,,
1,"The pain wish it could stop , the hurt inside jus grows bigger & bigger, the tiredness of loneliness the need of love,, the hate of being ","Oh it sure is love, just took my kid to the park at almost 8pm to avoid as many as possible     ",,,
1,different the weirdness of being weird the insults the suicide thoughts all gathering up inside its unexplainable,"Put your keys or phone on to of them, alarm in your phone or a note on the door.",,,
1,I came along way with depression so I have to pop pills to help me with the pain,Stupid funny but he makes me laugh and I emulate his character sometimes. I need to laugh and every time I look at this on my wall I will. One of my all time favorites.,,,
1,Sometimes I feel like Suicide Is the only way to escape my depression ??,Was happy fine and living life. Then woke up one morning with a high heart rate about 2 months ago. Heart tests were fine. ,,,
1,I'm a Christian I believe in God but sometimes I feel like he doesn't care of the things am going through....am so lost I need help,My dreams have become almost as vivid and clear as real life since I?ve been on my meds. ,,,
1,I exactly know how it feels to be in depressed I'm also one of those pple who feel like dying but what,"I?m going places I?ve never been, seeing people?s faces in detail, hearing their voices clearly, hugging them and feeling the hug so to speak.",,,
1,I don't understand is that y most of y'all like to cutt ur self with the knife ,"Looking for some words of strength to get through the next 5 hours. Currently at an adventure fairground type place with the kids, trying to not freak out with the rides, which so far I've managed a slow moving train ride. The noise, the people, my heart is pounding. ",,,
1,when u r depressed,"Hello, im feeling really good rn, might as well talk about it bc it's rare, I've actually had the motivation to do stuff the last two days, yesterday I cleaned my room(it took 3.5 hours to complete), today I took the carpet out of my closet(it took 3 hours to complete), having this much motivation is new, it feels like things are finally getting better and my life is starting to come together.",,,
1,I'm tired of this life I just wanna die,And still can't sleep from overthinking.,,,
1,Suicide,Can someone tell why I don't want to forget about someone who left me,,,
1,I keep on drinking pills justs so I can die....but everytime I remember I have a mom who really loves me,Today my grandad would have been 73. It hurts every day that I didn't get to meet him. And that he died before I could make him proud. I love you grandad Trevor and I hope that you're looking down on me from heaven and feeling proud,,,
1,Am heart broken  what I must do guys ,"Once I lose the person I'm dating now
I'll give up on relationship",,,
1,My heart is broken into pieces  I think am going to kill my self coz my girlfriend nthaby she is angry at me ,"Thinking bout giving up nd just might tonight tired or trying to reach out but nobody understands me, leaves me on read, messed up really when I need someone anyone the most nobody is there but when I'm needed I'm always there on time ??why.......did god really creat me like this",,,
1,So suicide is the best option ,"Here are some ideas about what we can do to move through our experience of feeling ?flawed,? to a place of acceptance, peace and then you would potentially love your flaws.",,,
1,At  this time of the morning and im crying becoz of lonliness and pain. im tired of living,Lost my job on Wednesday.  21 years at the same job. I have been numb.  Today I decided to do something for myself. I,,,
1,Still seekingfo a friend ...maybe its time to just give up and end this fake life,I have naturally red hair and i hate it so much because everyone makes fun of me for it i just want to pull it out. i?ve literally yanked it out of my head before. i feel like when people see me that?s all they think of me. i want to dye my hair so bad but my parents won?t let me.,,,
1,TONIGHT I HAVE TO TAKE MY PILLS TO SLEEPthe past 3 days you all saw how I cried...its getting bad!,"If you?re wondering how my day is going, I just went to Chick-fil-A and tried to order breakfast and was told they don?t serve breakfast at 2pm. I can?t EVEN",,,
1,Is this how my life will endtears...pain  lonliness  and always self harming,I have weird dreams every night because I am thinking over.,,,
1,WISH I HAD A REAL FRIENDi just feel like crying again all day becoz I have no one ,"I take a night sleeping medication that knocks me out , the problem is I can?t get up in the morning. I?m also afraid it?s making me gain weight. I?m wondering if it?s slowing down my metabolism in the mornings when I need it the most ",,,
1,I suppose its always the once who are the realest in life who take their life and I'm just tired of having no one that's why I'm now everyday ,"I see a lot of you saying about how you changed your diet, what did you change? What do you eat? I'm curious to see if diet changes would help me but don't even know where to start!!! Any help or advice would be greatly appreciated",,,
1,thinking what is my end plan as it seems I will never be good enought to have friends or loveto me everyday is just a battle of tears and ,Has anyone been in or has been in a interracial relationship???I needed someone to talk to regarding that.,,,
1,the feeling to diethe loneliness...the pain ,I wish I wasn?t a boring person so I would have friends to do adventurous things with.,,,
1,I feel like bleeding to death,"So I am on an SNRI not many have heard of. It's called Fetzima, recently it has started to cause random movements (shake) of my head and neck. Almost feels like a little seizure but its not.",,,
1,Ever felt so alone that you just brokedown and cry and Hurt yourself and think of ways how to end everything,"Hi I feel so low.
I need some one to talk to",,,
1,I have been crying again heavy I don't think this life is fair on me everything  become so hopeless at times,I just want friends who understands because my current family and friends don't understand me and I just keep everything in . ,,,
1,Supose I will die in this loneliness?? No friends,I wrote this tonight. I had a good day but around 4-5pm it started creeping in again. That lump in my chest was taking over. ,,,
1,I finally actually cut myself??but then had some kind of attack after that??everythin is working,"
I'm new here,I hope I have found myself a soothing home, where I can express my feelings.",,,
1,Don't know why I must suffer like this?? alone in a fake life,"U don't have to be rich to be a good person, u don't have to be beautiful or handsome to be a good person, u don't have to wear expensive label or drive luxury cars to be a good person, but ur heart can tell us who u you are",,,
1,Maybe I should just kill myself and get it over with Im having one of my attacks and theres no one,"Guys I lost my phones last night because I was drunk thinking some of my problems will go away,",,,
1,Tonight im crying heavy Its bad????Its getting worse again.,"Just need to vent n have someone who understands
Am alone in this world none cares.sewing the scars that someone 
",,,
1,Im asking again for a friend to text everyday and to meet up with suffer depression and suicde isues,I'm pregnant and I don't want to abort my baby so I was wondering if there is a couple struggling to have kids can have mine as I don't believe in abortion.,,,
1,Seems like people will never take me serious?? everyone is so fake?? I just want to disapear from this fake life! I hate it!,"I hope that when God decides to answer my prayers, I'm still alive inside",,,
1,Fake love has killed my soul??,People with mixed music taste have the right personality for anything.,,,
1,I want to die because (insert any possible criticism,Why can't people accept me from who I am it's always me getting judged by my looks I'm sorry I'm not good looking or amazing body but I do know that I have amazing personality I just wish people see wat I see but they don't never judge someone but it's book cover,,,
1,So hating  close to a total mental breakdown right now.,For people that need so lift up I lovr you and your absolutely amazing your gorgeous and I?m proud of you?? if you need to talk I?m always here babies,,,
1,my thoughts were destroying me i tried not to think but silence was a killer too.,I?ve had enough of this world people are selfish and don?t Care what you do for them to  help them then won?t turn around and help you whatsoever I?ve had enough and I want no part of this world anymore.,,,
1,Depression is when you don't really care about anything . Anxiety is when you care too much about everything. And having both is just like hell.,If She wanted me i would be a completely diffrent person.What is other guys have and i don't? I hate human race.,,,
1,some of y?all don?t appreciate my heart and i?m tired of it,Pandemic has not affected my shitty daily rouitine at all.I don't care the quarantine is over or not.In the beginning of the pandemic it was even fun.When it's over i'm not gonna be happy anyway.,,,
1,"Being judged by your own family for your mental illness, is the worst pain. ","My good friends. I hope everyone is doing well and having an awesome day today. We've all been through struggles in our lives, so I just want to offer an open line if anybody wants to talk! Be safe, you're all loved!",,,
1,Starving myself till death,"Hi guys, I?m Ella. I have always been so happy in my life but just recently I have lost motivation for everything, I find it hard to find joy in things now. I have everything that I could ask for but for some reason I just don?t want to be alive anymore.",,,
1,A fake smile can hide a million tears.,Hey guys I hope you have all day an absolutely amazing day Remember your gorgeous and stringer then you believe today is a new day stay strong I?m proud of you and remember I lovr you and I?m always here ,,,
1,after seeing that my parents or my family doesn't give a damn about what I do...I had a lot of sadness.  I was lonely and had no one to talk to. I had no friends till now... Then I got into Depression , I believe that pets help are always there for us no matter what they are loyal and family So today let's do it for our pets post a selfie of your pets,,,
1,"i kill my self, i wish i will die soon?",Does anyone else keep their fan on at night even if it?s freezing cold because they can?t stand the sound of total silence,,,
1,"I lost my peace, my happiness I lost everything..."," I don?t eat very much these days or barely anything at all?  I can?t get the energy or interest to cook most days, even anything easy.  I used to love finding recipes to cook, at least on the weekends.  Now I can barely get the energy or interest to even make a sandwich. ",,,
1,I have tried so many ways to kill myself its not working any option please,To be honest New York is not my home anymore.. I don?t consider it my home  theres a lot of drama here and I want to start a new life style somewhere else,,,
1,Fake smile rlly wanna die tbh sick of been treated like a mug and sick of ppl saying shot about my dead dad so dad I?ll see u up there ,I need to personally give myself a good birthday gift this year with all that has happened to me personally ....,,,
1,REAL DEPRESSION IS WHEN YOU HATE THE THINGS U ONCE LOVED,let me just say how happy i am to see how my group is growing. it means a lot to me that people wanted to actually join,,,
1,Having a hard time with my brothers suicide,"I would really love to start a free weekly relaxation live for everyone struggling,Having trained as a hypnotherapist and life coach and also suffering myself I want to aid people?s recovery ",,,
1,Dealing with bad depression help, I am sometimes Tortured by the energy I get from other people. Sometimes it?s not to bad.  I have learned to deal with.  As long as I get away from others.  Find a Quite place.  It can be so energy draining.   Does anyone know what that?s like,,,
1,I'm not depressed I just wanna die.,,,,
1,Had a emotional breakdown just now I miss my old friends who I made mistakes I made myself have depression,,,,
1,i'm sorry death isn't painfull but life is..,,,,
1,i feel very suicidal i need someone to talk to,,,,
1,Last two days felt like not doing anything at all....I'm derailed and  I'm starting to feel a bit suicidal,,,,
1,"Who Is depressed today I am about my girlfriend I need advice on ask her why you are not texting me
",,,,
1,I had to write a story for a scholarship and I uploaded it. When i lost my aunt I went through the suicidal thoughts and feelings,,,,
1,Alow me to cry.To pour out my heart .l have been fooled and betrayed by the man I loved.I  feel helpless .feel alone with my kids .no where to begin from .to start from .allow me to cry out .I  may commit suicide,,,,
1,I wanna a die so bad,,,,
1,Being a single mom has been so tough for me getting a real man any time i tell my new date I'm a single mom they just stop talking to me ....its really breaks my heart??,,,,
1,I feel so alone and unwanted.,,,,
1,Can any female talk ??? I am having a hard time,,,,
1,I have been depressed for 6 years. I want to do good for the last time. What can I do for others?,,,,
1,"I have had the worst year my son's father brutally murdered his father, the love of my life couldn't handle my depression, and I need words of encouragement to carry on. Plz.",,,,
1,So sad today  because  i want someone that doesnt want me  anyone wanna be my freind to atleast  calm me down ?,,,,
1,Emotionally: I'm in pain.Mentally: I'm depressed.Spiritually: I'm stressed.Physically: I sad.,,,,
1,you can look me in my eyes and can tell i hate myself.Depression is not a child's play,,,,
1,It's my birthday today n i feel so lonely.We keep chasing people without knowing ourselves needs us more.What's the point of living if were gonna die?,,,,
1,Feeling lonely as the one I want to know better is asleep and not talking. Am I that ugly that I don't deserve to be happy,,,,
1,Why do most girls discriminate?? What did your first suicide attempt teach you?,,,,
1,Depression and stress is not a joke,,,,
1,So sad today  because  i want someone that doesnt want me anyone wanna be my freind to atleast .calm me down ,,,,
1,What a terrible day I'm having...who am i kidding everydays like this,,,,
1,Will I die tonight hope so. Hey guys I need someone to chat to,,,,
1,"CRYING DAYS IN A ROW??????everything is worsing again. 
We need each other to live in this world",,,,
1,"Hello to the world I hate. I am the worst bitch you ever hate. Anyways, I live and work alone . I needed attention. I want to express myself even nobody wants to listen.",,,,
1,I just wish I could die already.,,,,
1,Is there any medication for depression?,,,,
1,Im so lonely. Can anyone friendship with me. Genuine human relationship plz,,,,
1,What is the best way to die?,,,,
1,How i get out from mental pain??,,,,
1,Hello I really need a good friend to talk to my girlfriend just broke up with me to be with a women,,,,
1,"My depression is cured, But I have no other feeling, What should I do?",,,,
1,Again depressed why people don't like me.,,,,
1,Help me out from loneliness at least i could feel willingness to live more. ,,,,
1,REAL EMOTIONS WON'T BE SEEN THRU PHYSICAL APPEARANCE. We are all big liars.?? I have rendered so much problems in life . i want to express but icant no one talk to me.?? add me guys and talk on chatbox,,,,
1,"I'm a victim of stress, depression and loneliness",,,,
1,People don't appreciate you while you're still alive.... It hurts me because I'm always lonely ,,,,
1,Nobody can understand my situation... My life is all about dissapointments and heart breaks,,,,
1,"Do not know nowadays I am feeling lonely and feeling so lonely that now I am scared of my loneliness, I have no girlfriend, no friend, no condition.  I feel like I am going into depression.",,,,
1,which one more hurts depression or loneliness,,,,
1,Supose I will die in this loneliness No friends,,,,
1,"I'm sick of people asking how I I'm as if anyone really cares I'm be depressed all my life and
suicidal since the age of  all I think about it death i wish I was never born always been the black sheep of the family no one loves me no likes me everyone hates me",,,,
1,Cant wait till I die,,,,
1,How to die without break my mother's heart ?,,,,
1,I'm lonely Confused Frustrated I wish I could die,,,,
1,I'm not depressed   it's just that I hate the life I'm living,,,,
1,I feel lonely sometimes,,,,
1,My everyday wish: sleeping and never wake up,,,,
1,Getting hurt have becomed a daily routine,,,,
1,I'm done now... Whenever I trust. .. I get hurt... And I'm done with everything... From now I don't need anyone real or any social media friend... It really hurts... I just wanna to end my life?,,,,
1,I stay very depressed help me please,,,,
1,Why you don?t care about my feelings Hmmmm I wanna die soon because so hurt,,,,
1,I want to die now ,,,,
1,"Dear me,I hate you,You're weak,You deserve the pain..You're imperfect, You""never be good enough, I hope you die ...





",,,,
1,"Hello guys I am in a horrible situation and having a panic attack, feel free to call me or text me if you able or willing to help me please",,,,
1,Having depression doesn't bother me. It's the anxiety that I don't like.,,,,
1,"I mostly feel suicidal and I had a long time selfarming but I stopped and it's been almost a year now since ,,, it wasn't a year , it was almost three months ago that I've hurt myself but I've been really trying to hold my anger and me feeling helpless and unworthy .",,,,
1,I am cycling. Going from feeling ok to being depressed. Feels like my meds are failing. Maybe I will try to sleep.,,,,
1,"Hurting. My husband mocked my suicidal feelings. I don't talk about them for attention. I wish people understood that when people stop talking about their suicidal thoughts and plans, it is time to worry. ",,,,
1,Hello im dealing with Antepartum depression and im 7 months pregnant. I dont know how to deal anymore. Im always crying and wondering how i am even gonna make it through the rest of my pregnancy? I am at a total loss.,,,,
1,I am going through a really rough time right now with suicidal thoughts. I have been helping everyone elses with their problems and life situations. Alot has crossed my mind latley that things will never get better or improve.,,,,
1,I hate depression and anxiety I?m fighting so hard And it?s like it?s keeps coming back And I?m trying so hard,,,,
1,Does anyone want to talk im down stressed out my anxiety is good high my depression is really bad am i alone,,,,
1,I'm so depressed and down some person called me ugly ND fat I'm crying just down in the dumps someone want to talk,,,,
1,2 years ago today I lost my unborn child how do u fill the empty hole in ur heart i can't i feel like its my fault,,,,
1,Does having in relationship or getting married helped someone coming over depression? Most people are advising me to get married and this will help me.,,,,
1,"My husband and I have both a problem. I am anxious and depressed. My husband is what we describe ""weak"" he has a blockage, doesn't know how to express his feelings, his thoughts, his emotions, he buries everything and he is paralyzed when faced with a problem.",,,,
1,Single mother of two boys.  Feel depression from time to time.  Today it's coming on strong.  I most find that my issues are waking up.  I wake up at like 5am and feel wide awake but want to keep sleeping.,,,,
1,"This is really hard for me to post but I'm taking a leap of faith here. 
So my whole life I have been suicidal or at the very least not caring if I live or die. I have a full on panic attack EVERY SINGLE NIGHT over thinking about the fact that I am going to die one day, and there is nothing I can do about  it.",,,,
1,"I'm so depressed right now and can't stop crying. I had feelings for someone for months. They acted like they wanted to be with me. Telling me they want me to open up, that we're close, best friends, admitting we've fallen for each other, and that he's open to expanding our relationship. ",,,,
1,"He told me not to fall in love with him. Thing is, I've already started going down that path. My heart just really hurts now. Im so depressed. Why would someone even tell you that? ??",,,,
1,"Does somebody else has this feeling like they want to die, or I am the only one?",,,,
1,Why you don?t care about my feelings ?????? Hmmmm I wanna die soon because so hurt,,,,
1,"Loneliness is killing me
I feel like such a loser i have no one to hang out with and talk to i have 0 social life whatsoever and its killing me. I feel like no one cares about me and cares about others. And when i do talk to this person they always try to argue and i get more shit than i deserve because even the littlest of things make me depressed or even suicidal i feel like giving up and i hate myself how when the smallest social interaction i get im so fucking awkward and then people think im a lunatic or just fuckin weird and go away.",,,,
1,I remember that 3 years ago i was a cool guy and i had a lot of friends but 2 years ago i discovered that all of em are fake then suicidal thoughts starts killing my mind because my 13 years best friend hurted me by telling all the secrets i told him to everyone and that's make me depressed and anxious about having new friends so i prefer to stay alone ,,,,
1,i'm so depressed right now and i dont know why. Sometimes i get depressed in the middle of the day. Has anyone got depressed in the middle of the day and cant figure out why? People ask why your depressed and your just like i dont know im just depressed.,,,,
1,I Hate Life Sometimes i wish i could disappear. Has anyone ever felt like that?,,,,
1,suicide is not solution but yes I'm in pain. Broken girl,,,,
1,SUICIDE IS CALLING MY NAME,,,,
1,What js the use of committing SUICIDE? When I'm already DEAD INDIDE?.,,,,
1,It's more painful when you trust a person then you are being fooled by hiding it.,,,,
1,"I am worthless,useless human being,maybe i deserve to die",,,,
1,I feel empty. Im crying . I want to end my life. Im exhausted.,,,,
1,I need someone to talk to I'm so depressed and lonely and I'm always crying silently so no one know.,,,,
1,Is there someone i can talk to im having a really hard time,,,,
1,Not only is the depression and anxiety getting to me... i was just diagnosed with cancer... so theres no stopping now,,,,
1,Suicidal thoughts.,,,,
1,"I really need someone to talk to?? I suffer from depression and insomnia and I have suicidal thoughts Please help me 

",,,,
1,"I feel so alone Why can't I just end it all
",,,,
1,My problem push me to suicide ,,,,
1,I am really not interested to live i was true to everyone but many guys are testing me and I got hurted every day i think I need not to quite my life but it killing me and hurting me,,,,
1,I have schizophrenia and a drug addicted for 5 years. And not a day goes by that I think of killing myself. But I turn to music drugs alcohol & women. I gotta numb my pain so how.,,,,
1,"why....why do people want me to die...why do people tell me i make my life miserable. people always tell me to bounce back stronger but everytime I try.....it takes a turn for the worse
",,,,
1,Today my anxiety and depression is very bad I need someone to talk to,,,,
1,I wanna die but i can't leave my sister in this cruel world ...coz she will also commit suicide ...i feel like almost everything is on me,,,,
1,Feeling sad suiside thoughts are bad,,,,
1,Need someone to talk to I'm feeling anxious and depressed,,,,
1,"I need help. Whenever im in a depressing state, something tells me to drink corrosive substances",,,,
1,"I just want to die, this is a very depressing time for me",,,,
1,"Im way I'm used to living like this , Being suicidal is a hobby?? Being depressed is a talent?? Hiding my emotions is a gift.And faking a smile is my job 



",,,,
1,I'm thinking I'm tired of my life I'm parilized from waist down I'm tired of my life's struggle. I'm alone and tired of being alone,,,,
1,Hey guys. If you have depression you must take care of it otherwise the heart beat will be abnormal as mine,,,,
1,I don?t have the urge to hurt myself but I think about my own death a lot. Constantly thinking about how and when and how it will affect those around me. It gives me the most anxiety.,,,,
1,I have anxiety and depression and commit suicide,,,,
1,"Feeling Sad and Bad Thoughts.
I need someone to help me and to talk with me.",,,,
1,My sister passed away a couple days ago it hurts so much...I've been having suicidal thoughts I've tried to take my own life...I'm only 13 someone pls help....,,,,
1,I wanna lock myself in a room no light no nothing just my lifeless body hanging there,,,,
1,Why are we here. There is so much pain. Hard to smile or laugh anymore,,,,
1,"Im tired of being tired and I'm tired of being sad.
I just want to end this pain",,,,
1,"I find myself thinking that i wish I wasn't here and things would be better for everyone. It is so hard struggling with depression, anxiety autism. The loneliness makes it even more hard for me to handle and get through a week. I have also thought about I could just kill myself but my anxiety is so severe that I worry it won't be so successful and then having to live with that too makes it worse. I just want to feel happy but don't know how to.......",,,,
1,Massive anxiety attach happen right now. Any distraction ideas for me. Haven?t had one of these in forever. Help,,,,
1,"Hello Guys, i am Leanne, i have this sadness, loneliness and depression inside of me that until now im still fighting with, its about a man that I met few months ago, He just returned that time from another country where He's working to visit his Hometown and at the same time taking care of his business here. ",,,,
1,"It started 3 years ago. Im one of the victim of body shaming,  im very skinny and ugly. I just want to end all of this. I could do whatever to punish myself for being me . I really hate myself, just why me?  ",,,,
1,"Good morning, I want suicide ways without pain and successful",,,,
1,Feeling so worthless like life is jus nothing I don't know how to get back to my normal self,,,,
1,Alot of times I have anxiety for absolutely NO reason?! I dont understand why so many of us have this.ÿ ,,,,
1,"I?m having some serious anxiety issues which I?ve never had before. I started to feel depressed with some anxiety but now I feel like the anxiety is almost too much. I ?have no appetite (which is odd cause I?m a big girl), I can?t sleep (maybe a few hrs Max some nights none), constant worry, and facial tics. ",,,,
1,Does anyone struggle with anxiety related to needles? I have to get blood work tomorrow and I can feel the anxiety in my chest. I'm terrified of needles. ,,,,
1,My anxiety is on high alert today. Waiting for PT to get approved. I'm irritated with the whole situation. I don't even know who to be mad at ,,,,
1,"currently hiding in my closet with my laptop cus my adult friend wont leave and is being a slug on my bed. 
stress and anxiety you wont get me in here!",,,,
1,"Does your anxiety ever made it hard to communicate your thoughts? I have been dealing with anxiety lot lately and having the worse time putting my thoughts into words. 
I had an interview today and could barely answer the questions; it was incredibly frustrating.",,,,
1,"I'm new here so bare with me. I struggle from anxiety and depression. My anxiety has gotten worse as years have gone by. I have this thing when I get sensory overload too much movement noise and I just have to go home. 
I loose focus and I get cloudy. I am tired after I get home and settle. ",,,,
1,"Hello. New person here. Lately my anxiety has been really bad. Even over silly things. The fact people keep saying they can?t wait for fall makes me anxious. Thinking I?ll possibly be stuck inside for months. 
My spending has gotten bad in August. So I told myself no spending in September. ",,,,
1,I was diagnosed with a server anxiety disorder recently and I can very easily become extremely angry and hateful to be around which makes me even more upset with myself does anyone else experience this... If you do what r ur coping skills.. ,,,,
1,"My anxiety is killing me. Polyp next wed. Also gastro thinks I have cancer. Bleeding and cramping but no period. I?m scared to death. 
I?m only 44. My boyfriends works outside home and he says he is careful about covid but not enough. I felt sick last night with like a cold and scared if I got it because then I can?t have gyno removing polyp and surgeon visit on Friday and he made fun of me and yelled at me. I can?t sleep at night due to cramps. ",,,,
1,I am struggling a lot. I know my depression is taking a toll on my marriage my children my work.,,,,
1,I need strength today as my anxiety is pretty bad today and I have no one to actually fully talk to about my situation,,,,
1,"My depression and anxiety caused my shopping addiction. My husband is my enabler and he can never say no to me when we shop because he loves to see me happy. I need to stop shopping! We live in a 550 square foot studio apartment and it?s getting hard to maneuver.
 When we get home after shopping, I get so depressed and anxious because I don?t know where to put the stuff. My place feels like a tornado came through. ",,,,
1,"I?m afraid of death but I need to kill myself too,
Can someone please suggest a painless method to end it with dignity.",,,,
1,I am feeling suicidal I just don?t care to live anymore or want to I?m done with trying to live and people walking all over me.,,,,
1,I feel like I'm constantly falling down this endlessly pit with four walls closing in on me slowly. I cant fight this anymore.,,,,
1,I feel unwanted rejected i feel empty and lost i just wanna die so i dont have to feel this way,,,,
1,"since i?ve became super depressed i?ve gained so much weight and i don?t know how to stop it, i just don?t have the energy to do anything anymore...does anyone have tips on what to do?",,,,
1,"When your mum doesnt even care that you attempted suicide has finally made me realise that she never cared or loved from day 1, after everything she has done to me and my siblings ive always forgive her but now ive realised i dont need her (even tho its crushing me from the inside out) ",,,,
1,Heartbroken...just seen a very sweet and caring woman I knew passed away today. She was only 45. Just so in shock. Didn't wanna see this after everything else in my life.,,,,
1,I can?t find happiness in anything I do ,,,,
1,"My anxiety has gotten so bad I can only get a couple of hrs of sleep every night. I think I need to see a Dr as this is not good for my health but scared of the meds they might prescribe. Is there anything that can help calm my nerves and stress at night so I can sleep normal? I worry about everyones health, my kids, mine, my mother's, even the dogs health.",,,,
1,Hi i suffer from anxiety. My main issue is i feel nervous going out of my house alone to the store or anywhere i have to go i have to be with someone. Las couple of weeks i have been under lots of stress and i feel my muscles so tense.,,,,
1,"I'm struggling with loneliness, isolation and brutal depression and anxiety. I would greatly appreciate your prayers. Thank you very much, and may God bless you.",,,,
1,"I?m here for support with my anxiety and depression, both of which have been ongoing. Depression is mostly gone which is awesome! But I?m finding myself getting down every now and again. Anxiety has been a life long thing I didn?t realize I had until my late teens. I?m looking forward to sharing support and receiving kind words from everyone ",,,,
1,"Hi, I?m hoping that me talking my anxiety out too all can help in whatever way-
  I am really struggling right now, my anxiety is sky high and I don?t know what to do! ",,,,
1,"I'm on zoloft for anxiety and panic attacks. It's been two months. My anxiety and panic is now constant and unrelenting. For the last 2 weeks I have become severely depressed, and started having auditory hallucinations in me head. ",,,,
1,"I'm ugly and lonely ,it hurts so much to know no one wants me .",,,,
1," I?ve been depressed more than half my life & I?ve tried every antidepressant under the sun.  Nothing helps me at all.  So, I haven?t taken an antidepressant in many years.  ",,,,
1,"My parents are fighting from one week and i am completely depressed ,exhausted and tired . I tried everything in my power to patch them up but i failed i tried to tell my friend about it but turns out she also has her problems which she shared with me and i ended up solving her problem . I need advice",,,,
1,I feel I?m at the end of my rope . I just can?t keep living anymore I?m sick of it . I?ll always be alone and worthless,,,,
1,"It's almost like I'm watching my life collapse from outside of my own body but there is nothing I can do. I feel my anxiety coming back in a huge wave and my depression has gotten so bad I can barely function.
At this point I'm just waiting for the end. I'm sad. I'm scared. I'm alone.",,,,
1,"Life just started feeling like it was  meaningless a few months back, & that eery, sad feeling like i have no purpose just krept up one day, & havent been able 2 shake this feeling for months now...my depression cycles have NEVER lasted this long at a time. I just miss laughing. Idk wut 2 do??",,,,
